11-07-2020 19:33:16.718 INFO  [main] o.s.cloud.context.scope.GenericScope - BeanFactory id=db0f2fa2-062d-32cb-a7d9-ff4b10221a17
11-07-2020 19:33:16.807 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.example.requestservice.feignClient.LoginClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-07-2020 19:33:16.809 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.example.requestservice.feignClient.VehicleClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-07-2020 19:33:16.819 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'webServiceConfig' of type [com.example.requestservice.config.WebServiceConfig$$EnhancerBySpringCGLIB$$2dde1d39] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-07-2020 19:33:16.819 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$2265e6bb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-07-2020 19:33:16.851 INFO  [main] o.s.w.s.a.s.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
11-07-2020 19:33:16.943 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$99e824b9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-07-2020 19:33:17.153 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8085 (http)
11-07-2020 19:33:17.179 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
11-07-2020 19:33:17.180 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
11-07-2020 19:33:17.180 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
11-07-2020 19:33:17.264 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
11-07-2020 19:33:17.264 INFO  [main] o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1840 ms
11-07-2020 19:33:17.450 INFO  [main] o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
11-07-2020 19:33:17.467 INFO  [main] o.s.s.c.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
11-07-2020 19:33:17.564 INFO  [task-1] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
11-07-2020 19:33:17.706 INFO  [task-1] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.15.Final
11-07-2020 19:33:17.812 INFO  [main] o.s.d.r.c.DeferredRepositoryInitializationListener - Triggering deferred initialization of Spring Data repositories…
11-07-2020 19:33:17.842 INFO  [task-1] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
11-07-2020 19:33:17.941 INFO  [task-1] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11-07-2020 19:33:18.099 INFO  [task-1] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11-07-2020 19:33:18.110 INFO  [task-1] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
11-07-2020 19:33:19.053 INFO  [task-1] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
11-07-2020 19:33:19.060 INFO  [task-1] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
11-07-2020 19:33:19.389 INFO  [main] o.s.d.r.c.DeferredRepositoryInitializationListener - Spring Data repositories initialized!
11-07-2020 19:33:19.501 INFO  [main] o.s.d.r.c.DeferredRepositoryInitializationListener - Triggering deferred initialization of Spring Data repositories…
11-07-2020 19:33:19.501 INFO  [main] o.s.d.r.c.DeferredRepositoryInitializationListener - Spring Data repositories initialized!
11-07-2020 19:33:19.851 INFO  [main] c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
11-07-2020 19:33:19.855 INFO  [main] c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
11-07-2020 19:33:20.696 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
11-07-2020 19:33:20.711 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8085 (http) with context path ''
11-07-2020 19:33:20.714 INFO  [main] o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
11-07-2020 19:33:20.748 INFO  [main] o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#6d6d480c:0/SimpleConnection@dbddbe3 [delegate=amqp://guest@127.0.0.1:5672/, localPort= 33418]
11-07-2020 19:33:20.813 INFO  [main] o.s.d.r.c.DeferredRepositoryInitializationListener - Triggering deferred initialization of Spring Data repositories…
11-07-2020 19:33:20.814 INFO  [main] o.s.d.r.c.DeferredRepositoryInitializationListener - Spring Data repositories initialized!
11-07-2020 19:33:20.826 INFO  [main] c.e.r.RequestServiceApplication - Started RequestServiceApplication in 7.643 seconds (JVM running for 8.773)
11-07-2020 19:40:49.648 INFO  [SpringContextShutdownHook] o.s.a.r.l.SimpleMessageListenerContainer - Waiting for workers to finish.
11-07-2020 19:40:49.871 INFO  [SpringContextShutdownHook] o.s.a.r.l.SimpleMessageListenerContainer - Successfully waited for workers to finish.
11-07-2020 19:40:49.873 INFO  [SpringContextShutdownHook] o.s.a.r.l.SimpleMessageListenerContainer - Waiting for workers to finish.
11-07-2020 19:40:49.874 INFO  [SpringContextShutdownHook] o.s.a.r.l.SimpleMessageListenerContainer - Successfully waited for workers to finish.
11-07-2020 19:40:49.943 INFO  [SpringContextShutdownHook] o.s.a.r.l.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
11-07-2020 19:40:49.944 INFO  [SpringContextShutdownHook] o.s.a.r.l.SimpleMessageListenerContainer - Shutdown ignored - container is not active already
11-07-2020 19:40:49.959 INFO  [SpringContextShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
11-07-2020 19:40:49.961 INFO  [SpringContextShutdownHook] o.s.s.c.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
11-07-2020 19:40:49.962 INFO  [SpringContextShutdownHook] o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
11-07-2020 19:40:49.963 INFO  [SpringContextShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
11-07-2020 19:40:49.984 INFO  [SpringContextShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
11-07-2020 19:40:56.044 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$8fbbd349] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-07-2020 19:40:56.527 INFO  [main] c.e.r.RequestServiceApplication - No active profile set, falling back to default profiles: default
11-07-2020 19:40:57.847 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
11-07-2020 19:40:57.938 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 81ms. Found 2 JPA repository interfaces.
11-07-2020 19:40:58.184 INFO  [main] o.s.cloud.context.scope.GenericScope - BeanFactory id=db0f2fa2-062d-32cb-a7d9-ff4b10221a17
